UNIQUE_ID,YEAR,COUNTRY,REGION,CONTINENT,HAPPINESS_SCORE,HAPPINESS_RANK,HAPPINESS_RANK_DECILE,HAPPINESS_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_SCORE,ECONOMY_GDP_PER_CAPITA_RANK,ECONOMY_GDP_PER_CAPITA_RANK_DECILE,ECONOMY_GDP_PER_CAPITA_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_PCT,FAMILY_SCORE,FAMILY_RANK,FAMILY_RANK_DECILE,FAMILY_RANK_QUARTILE,FAMILY_PCT,HEALTH_LIFE_EXPECTANCY_SCORE,HEALTH_LIFE_EXPECTANCY_RANK,HEALTH_LIFE_EXPECTANCY_RANK_DECILE,HEALTH_LIFE_EXPECTANCY_RANK_QUARTILE,HEALTH_LIFE_EXPECTANCY_PCT,FREEDOM_SCORE,FREEDOM_RANK,FREEDOM_RANK_DECILE,FREEDOM_RANK_QUARTILE,FREEDOM_PCT,GENEROSITY_SCORE,GENEROSITY_RANK,GENEROSITY_RANK_DECILE,GENEROSITY_RANK_QUARTILE,GENEROSITY_PCT,TRUST_GOVERNMENT_CORRUPTION_SCORE,TRUST_GOVERNMENT_CORRUPTION_RANK,TRUST_GOVERNMENT_CORRUPTION_RANK_DECILE,TRUST_GOVERNMENT_CORRUPTION_RANK_QUARTILE,TRUST_GOVERNMENT_CORRUPTION_PCT
Tajikistan_2015,2015,Tajikistan,"Asia & Pacific",Asia,4.786,106,7,3,0.39047,129,9,4,0.14613345047804446,0.85563,118,8,3,0.3202196378566997,0.57379,109,7,3,0.21474099154464787,0.47216,66,5,2,0.17670594922684224,0.22974,68,5,2,0.08598022426790727,0.15072,52,4,2,0.056406980820669105
Ethiopia_2015,2015,Ethiopia,Africa,Africa,4.512,122,8,4,0.19073,149,10,4,0.09244198482156393,0.60406,143,10,4,0.2927725224454856,0.44055,118,8,3,0.21352338483561548,0.4345,80,5,3,0.2105911081718947,0.24325,62,4,2,0.11789708974820011,0.15048,53,4,2,0.07293383146195176
Sudan_2015,2015,Sudan,"Arab States",Africa,4.55,118,8,3,0.52107,120,8,4,0.2225434720848985,1.01404,85,6,3,0.4330857263302809,0.36878,127,8,4,0.15750202124702287,0.10081,154,10,4,0.04305488131156021,0.19062,93,6,3,0.08141178249549165,0.1466,54,4,2,0.06261130223294337
Montenegro_2015,2015,Montenegro,Europe,Europe,5.192,82,6,3,0.97438,71,5,2,0.3151466967919294,0.90557,109,7,3,0.2928912540990085,0.72521,68,5,2,0.2345568829606553,0.1826,148,10,4,0.05905887631741797,0.1614,116,8,3,0.052202095337974215,0.14296,55,4,2,0.04623798732656929
Jordan_2015,2015,Jordan,"Arab States",Asia,5.192,82,6,3,0.90198,80,5,3,0.27233366464621594,1.05392,74,5,2,0.3182087292756233,0.69639,80,5,3,0.21026013550175005,0.40661,93,6,3,0.12276724181215369,0.11053,137,9,4,0.03337218071363103,0.14293,56,4,2,0.043154672726399085
"North Cyprus_2015",2015,"North Cyprus",Europe,Europe,5.695,66,5,2,1.20806,35,3,1,0.2949278807858246,1.07008,72,5,2,0.26124234904562316,0.92356,11,1,1,0.22547190913724632,0.49027,58,4,2,0.11969131141681266,0.26169,53,4,2,0.06388728434475782,0.1428,57,4,2,0.03486225968435028
"Dominican Republic_2015",2015,"Dominican Republic","South/Latin America","North America",4.885,98,7,3,0.89537,82,6,3,0.2438404533442701,1.17202,49,4,2,0.31918187555309946,0.66825,87,6,3,0.1819877678313072,0.57672,33,3,1,0.15706095251656266,0.21684,78,5,2,0.059053087843276356,0.14234,58,4,2,0.03876414326852344
Iceland_2015,2015,Iceland,Europe,Europe,7.561,2,1,1,1.30232,22,2,1,0.26802278165626525,1.40223,1,1,1,0.2885846724554235,0.94784,7,1,1,0.19506934246237784,0.62877,15,1,1,0.12940343563894569,0.4363,13,1,1,0.08979232589899913,0.14145,59,4,2,0.029110988935716203
Iraq_2015,2015,Iraq,"Arab States",Asia,4.677,112,7,3,0.98549,69,5,2,0.3618269559914587,0.81889,120,8,4,0.3006590223153532,0.60237,104,7,3,0.22116277865632733,0,157,10,4,0,0.17922,105,7,3,0.06580140599247196,0.13788,60,4,2,0.05062324180364767
Suriname_2015,2015,Suriname,"South/Latin America","South America",6.269,40,3,1,0.99534,67,5,2,0.28617677315274886,0.972,96,6,3,0.27946613942201015,0.6082,102,7,3,0.17486760216810468,0.59657,25,2,1,0.1715237844478227,0.16991,108,7,3,0.04885194574789034,0.13633,61,4,2,0.0391971367163007
Malta_2015,2015,Malta,Europe,Europe,6.302,37,3,1,1.2074,36,3,1,0.25947733956491276,1.30203,13,1,1,0.27981388266615936,0.88721,25,2,1,0.1906666392374971,0.60365,23,2,1,0.12972792270589817,0.51752,4,1,1,0.11121808800362126,0.13586,62,4,2,0.029197110632455593
"Palestinian Territories_2015",2015,"Palestinian Territories","Arab States",Asia,4.715,108,7,3,0.59867,112,7,3,0.2241235853504275,0.92558,104,7,3,0.34650861352604656,0.66015,89,6,3,0.2471397957702743,0.24499,136,9,4,0.09171670203606715,0.11251,136,9,4,0.04212027502535333,0.12905,63,4,2,0.048312340264224415
Chile_2015,2015,Chile,"South/Latin America","South America",6.67,27,2,1,1.10715,51,4,2,0.27719287302091367,1.12447,57,4,2,0.2815292239808795,0.85857,34,3,1,0.2149568606336419,0.44132,76,5,2,0.11049159000231605,0.33363,30,2,1,0.08352965764283685,0.12869,64,4,2,0.03221962098004618
"Burkina Faso_2015",2015,"Burkina Faso",Africa,Africa,3.587,152,10,4,0.25812,143,10,4,0.12163652653716514,0.85188,119,8,4,0.4014401277581888,0.27125,141,9,4,0.1278239149887628,0.39493,99,7,3,0.1861069036688628,0.21747,77,5,2,0.10248061372961231,0.12832,65,5,2,0.060469542409360665
Bangladesh_2015,2015,Bangladesh,"Asia & Pacific",Asia,4.694,109,7,3,0.39753,128,9,4,0.18266072547358517,0.43106,148,10,4,0.19806739595334846,0.60164,105,7,3,0.2764470586662919,0.4082,91,6,3,0.1875634778158077,0.21222,83,6,3,0.0975127911461956,0.12569,66,5,2,0.05775319315802949
